4000000,Paracetamol,Tablet,01-01-2023,24,100,100,0.5,0
4000001,Ibuprofen,Capsule,15-02-2023,36,200,200,1.0,0
4000002,Amoxicillin,Syrup,20-03-2023,24,150,150,1.5,0
4000003,Cetirizine,Tablet,10-04-2023,18,80,80,0.75,0
4000004,Azithromycin,Suspension,05-05-2023,12,120,120,2.5,0
4000005,Omeprazole,Capsule,01-06-2023,24,90,90,1.2,0
4000006,Loratadine,Tablet,15-07-2023,36,60,60,0.65,0
4000007,Aspirin,Tablet,20-08-2023,12,300,300,0.8,0
4000008,Metformin,Tablet,01-09-2023,24,200,200,1.1,0
4000009,Simvastatin,Tablet,10-10-2023,18,100,100,2.0,0
4000010,Hydrochlorothiazide,Tablet,15-11-2023,24,75,75,1.3,0
4000011,Lisinopril,Tablet,01-12-2023,12,80,80,1.8,0
4000012,Metoprolol,Tablet,25-12-2023,24,120,120,1.5,0
4000013,Naproxen,Capsule,05-01-2024,36,90,90,1.7,0
4000014,Diclofenac,Tablet,12-02-2024,18,50,50,2.1,0
4000015,Prednisone,Tablet,20-03-2024,12,110,110,1.4,0
4000016,Azithromycin,Syrup,15-04-2024,24,130,130,2.3,0
4000017,Clindamycin,Capsule,10-05-2024,24,70,70,1.9,0
4000018,Doxycycline,Tablet,25-06-2024,12,55,55,1.6,0
4000019,Amiodarone,Tablet,30-07-2024,24,95,95,2.2,0
4000020,Rivaroxaban,Tablet,10-08-2024,12,85,85,3.0,0

